674	1	a	I was able to do voice dialing in the car with no problem.
342	0	a	The majority of the Logitech earbud headsets failed.
1853	0	a	Not much seafood and like 5 strings of pasta at the bottom.
437	1	a	Simple, lightweight and great fit.
608	1	a	Great product and price.
58	0	a	camera color balance is AWFUL.
1177	0	a	The lighting is awful.  
954	0	a	You can find better movies at youtube.  
1663	0	a	The burger had absolutely no flavor - the meat itself was totally bland, the burger was overcooked and there was no charcoal flavor.
1617	0	a	How can you call yourself a steakhouse if you can't properly cook a steak, I don't understand!
229	0	a	Do NOT buy if you want to use the holster.
591	1	a	This is simply the BEST bluetooth headset for sound quality!
2249	1	a	OMG I felt like I had never eaten Thai food until this dish.
1343	1	a	For readers who have already seen one of Miyazaki's films: he is still in top form and made another worthwhile experience.  
379	0	a	Customer service was terrible.
1181	0	a	I'm still trying to get over how bad it was.  
1564	1	a	A good film by a great director!  
6	0	a	The Ngage is still lacking in earbuds.
377	0	a	Makes it easier to keep up with my bluetooth when I'm not wearing it.
2125	1	a	Good food , good service .
2184	1	a	They have a really nice atmosphere.
2156	1	a	Join the club and get awesome offers via email.
1929	0	a	It was pretty gross!
2116	1	a	The cashier was friendly and even brought the food out to me.
1896	0	a	What did bother me, was the slow service.
610	1	a	I great reception all the time.
1729	0	a	too bad cause I know it's family owned, I really wanted to like this place.
940	0	a	The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  
2085	1	a	The seafood was fresh and generous in portion.
1527	1	a	I don't know exactly what it is about this movie, but we latched on to this endearing movie and it has become a special part of our family's memories.  
160	0	a	Piece of trash.
1367	1	a	I was totally fascinated by the music, the dancing... everything.  
745	1	a	Absolutely great.
180	0	a	Talk about USELESS customer service.
2253	1	a	An excellent new restaurant by an experienced Frenchman.
1381	1	a	I didn't realize how wonderful the short really is until the last two scenes.  
1142	0	a	This is not movie-making.  
244	0	a	I received my supposedly new motorola 375 and apparently there was not a match between the phone and the charger.
2269	1	a	I miss it and wish they had one in Philadelphia!
2209	1	a	Their regular toasted bread was equally satisfying with the occasional pats of butter... Mmmm...!
1146	0	a	putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  
115	0	a	Bad Quality.
1952	0	a	Food is way overpriced and portions are fucking small.
1715	0	a	Now I am getting angry and I want my damn pho.
1587	1	a	The entire audience applauded at the conclusion of the film.  
1768	0	a	It was attached to a gas station, and that is rarely a good sign.
1080	0	a	I don't think I've ever gone to a movie and disliked it as much.  
